e_;k_;d_;c_;c_local;provid;b_;b_local;culture;faith;terrain;baronytype
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_barretos;Barretos;31;b_br_27_barretos;Barretos;caipira;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_barretos;Barretos;32;b_br_27_ol_mpia;Olímpia;caipira;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_orl_ndia;Orlândia;33;b_br_27_orl_ndia;Orlândia;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_orl_ndia;Orlândia;34;b_br_27_s_o_joaquim_da_barra;São Joaquim da Barra;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_rio_pardo;c_br_27_orl_ndia;Orlândia;35;b_br_27_gua_ra;Guaíra;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_alto_paraiba;c_br_27_s_o_jos_dos_campos;São José dos Campos;36;b_br_27_s_o_jos_dos_campos;São José dos Campos;paulistano;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_alto_paraiba;c_br_27_s_o_jos_dos_campos;São José dos Campos;37;b_br_27_jacare_;Jacareí;paulistano;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_alto_paraiba;c_br_27_s_o_jos_dos_campos;São José dos Campos;38;b_br_27_andrade;Andrade;paulistano;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_alto_paraiba;c_br_27_taubat_;Taubaté;39;b_br_27_taubat_;Taubaté;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_alto_paraiba;c_br_27_taubat_;Taubaté;40;b_br_27_pindamonhangaba;Pindamonhangaba;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_alto_paraiba;c_br_27_guaratinguet_;Guaratinguetá;41;b_br_27_guaratinguet_;Guaratinguetá;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_alto_paraiba;c_br_27_guaratinguet_;Guaratinguetá;42;b_br_27_aparecida;Aparecida;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_alto_paraiba;c_br_27_guaratinguet_;Guaratinguetá;43;b_br_27_cunha;Cunha;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_alto_paraiba;c_br_27_guaratinguet_;Guaratinguetá;44;b_br_27_areias;Areias;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_alto_paraiba;c_br_27_campos_do_jord_o;Campos do Jordão;45;b_br_27_campos_do_jord_o;Campos do Jordão;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_alto_paraiba;c_br_21_ant_nio_rocha;Antônio Rocha;46;b_br_21_ant_nio_rocha;Antônio Rocha;paraiba;apostolicism;mountains;castle_holding
e_sudeste;k_sao_paulo;d_santos;c_br_27_s_o_vicente;São Vicente;47;b_br_27_s_o_vicente;São Vicente;caicara;apostolicism;jungle;castle_holding
e_sudeste;k_sao_paulo;d_santos;c_br_27_s_o_vicente;São Vicente;48;b_br_27_itanha_m;Itanhaém;caicara;apostolicism;jungle;castle_holding
e_sudeste;k_sao_paulo;d_santos;c_br_27_s_o_vicente;São Vicente;49;b_br_27_peru_be;Peruíbe;caicara;apostolicism;jungle;castle_holding
e_sudeste;k_sao_paulo;d_santos;c_br_27_santos;Santos;50;b_br_27_santos;Santos;caicara;apostolicism;jungle;castle_holding
e_sudeste;k_sao_paulo;d_santos;c_br_27_santos;Santos;51;b_br_27_indaia;Indaia;caicara;apostolicism;jungle;castle_holding
e_sudeste;k_sao_paulo;d_sorocaba;c_br_27_sorocaba;Sorocaba;52;b_br_27_sorocaba;Sorocaba;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_sorocaba;c_br_27_sorocaba;Sorocaba;53;b_br_27_itu;Itu;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_sorocaba;c_br_27_sorocaba;Sorocaba;54;b_br_27_s_o_roque;São Roque;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_sorocaba;c_br_27_sorocaba;Sorocaba;55;b_br_27_piedade;Piedade;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_sorocaba;c_br_27_tatu_;Tatuí;56;b_br_27_tatu_;Tatuí;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_sorocaba;c_br_27_tatu_;Tatuí;57;b_br_27_cerquilho;Cerquilho;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_sorocaba;c_br_27_itapetininga;Itapetininga;58;b_br_27_itapetininga;Itapetininga;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_sorocaba;c_br_27_itapetininga;Itapetininga;59;b_br_27_pilar_do_sul;Pilar do Sul;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_sorocaba;c_br_27_itapetininga;Itapetininga;60;b_br_27_angatuba;Angatuba;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_piracicaba;c_br_27_limeira;Limeira;61;b_br_27_limeira;Limeira;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_piracicaba;c_br_27_limeira;Limeira;62;b_br_27_rio_claro;Rio Claro;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_piracicaba;c_br_27_limeira;Limeira;63;b_br_27_araras;Araras;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_piracicaba;c_br_27_piracicaba;Piracicaba;64;b_br_27_piracicaba;Piracicaba;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_piracicaba;c_br_27_piracicaba;Piracicaba;65;b_br_27_capivari;Capivari;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_piracicaba;c_br_27_s_o_pedro;São Pedro;66;b_br_27_s_o_pedro;São Pedro;paulista;apostolicism;mountains;castle_holding
e_sudeste;k_sao_paulo;d_piracicaba;c_br_27_s_o_pedro;São Pedro;67;b_br_27_brotas;Brotas;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_cuesta;c_br_27_s_o_carlos;São Carlos;68;b_br_27_s_o_carlos;São Carlos;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_cuesta;c_br_27_s_o_carlos;São Carlos;69;b_br_27_ferreira;Ferreira;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_cuesta;c_br_27_s_o_carlos;São Carlos;70;b_br_27_santa_rita_do_passa_quatro;Santa Rita do Passa Quatro;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_cuesta;c_br_27_araraquara;Araraquara;71;b_br_27_araraquara;Araraquara;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_cuesta;c_br_27_araraquara;Araraquara;72;b_br_27_ribeir_o_bonito;Ribeirão Bonito;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_cuesta;c_br_27_araraquara;Araraquara;73;b_br_27_boa_esperan_a_do_sul;Boa Esperança do Sul;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_cuesta;c_br_27_mat_o;Matão;74;b_br_27_ibitinga;Ibitinga;caipira;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_cuesta;c_br_27_mat_o;Matão;75;b_br_27_mat_o;Matão;caipira;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_cuesta;c_br_27_mat_o;Matão;76;b_br_27_taquaritinga;Taquaritinga;caipira;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_cuesta;c_br_27_leme;Leme;77;b_br_27_leme;Leme;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_cuesta;c_br_27_leme;Leme;78;b_br_27_pirassununga;Pirassununga;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_medio_tiete;c_br_27_bauru;Bauru;79;b_br_27_bauru;Bauru;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_medio_tiete;c_br_27_bauru;Bauru;80;b_br_27_pederneiras;Pederneiras;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_medio_tiete;c_br_27_bauru;Bauru;81;b_br_27_ava_;Avaí;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_medio_tiete;c_br_27_ja_;Jaú;82;b_br_27_ja_;Jaú;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_medio_tiete;c_br_27_ja_;Jaú;83;b_br_27_barra_bonita;Barra Bonita;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_medio_tiete;c_br_27_ja_;Jaú;84;b_br_27_bariri;Bariri;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_medio_tiete;c_br_27_botucatu;Botucatu;85;b_br_27_botucatu;Botucatu;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_medio_tiete;c_br_27_botucatu;Botucatu;86;b_br_27_s_o_manuel;São Manuel;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_medio_tiete;c_br_27_botucatu;Botucatu;87;b_br_27_itatinga;Itatinga;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_medio_tiete;c_br_27_len_is_paulista;Lençóis Paulista;88;b_br_27_len_is_paulista;Lençóis Paulista;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_medio_tiete;c_br_27_len_is_paulista;Lençóis Paulista;89;b_br_27_agudos;Agudos;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_medio_tiete;c_br_27_len_is_paulista;Lençóis Paulista;90;b_br_27_duartina;Duartina;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_mogi;c_br_27_mogi_gua_u;Mogi Guaçu;91;b_br_27_mogi_gua_u;Mogi Guaçu;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_mogi;c_br_27_mogi_gua_u;Mogi Guaçu;92;b_br_27_esp_rito_santo_do_pinhal;Espírito Santo do Pinhal;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_mogi;c_br_27_s_o_jo_o_da_boa_vista;São João da Boa Vista;93;b_br_27_s_o_jo_o_da_boa_vista;São João da Boa Vista;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_mogi;c_br_27_s_o_jo_o_da_boa_vista;São João da Boa Vista;94;b_br_27_santa_cruz_das_palmeiras;Santa Cruz das Palmeiras;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_mogi;c_br_27_mococa;Mococa;95;b_br_27_mococa;Mococa;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_mogi;c_br_27_mococa;Mococa;96;b_br_27_s_o_jos_do_rio_pardo;São José do Rio Pardo;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_mogi;c_br_27_mococa;Mococa;97;b_br_27_tamba_;Tambaú;capiau;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_itapeva;c_br_27_itapeva;Itapeva;98;b_br_27_itapeva;Itapeva;paulista;neopentecostalism;plains;castle_holding
e_sudeste;k_sao_paulo;d_itapeva;c_br_27_itapeva;Itapeva;99;b_br_27_itarar_;Itararé;paulista;neopentecostalism;plains;castle_holding
e_sudeste;k_sao_paulo;d_itapeva;c_br_27_itapeva;Itapeva;100;b_br_27_cap_o_bonito;Capâo Bonito;paulista;neopentecostalism;plains;castle_holding
e_sudeste;k_sao_paulo;d_itapeva;c_br_27_itapeva;Itapeva;101;b_br_27_apia_;Apiaí;paulista;neopentecostalism;plains;castle_holding
e_sudeste;k_sao_paulo;d_itapeva;c_br_27_itapeva;Itapeva;102;b_br_27_buri;Buri;paulista;neopentecostalism;plains;castle_holding
e_sudeste;k_sao_paulo;d_itapeva;c_br_27_itapeva;Itapeva;103;b_br_27_pil_es;Pilões;paulista;neopentecostalism;plains;castle_holding
e_sudeste;k_sao_paulo;d_itapeva;c_br_27_avar_;Avaré;104;b_br_27_avar_;Avaré;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_itapeva;c_br_27_avar_;Avaré;105;b_br_27_piraju;Piraju;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_itapeva;c_br_27_avar_;Avaré;106;b_br_27_cerqueira_c_sar;Cerqueira César;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_itapeva;c_br_27_ita_;Itaí;107;b_br_27_ita_;Itaí;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_itapeva;c_br_27_ita_;Itaí;108;b_br_27_itaber_;Itaberá;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_itapeva;c_br_27_ita_;Itaí;109;b_br_27_paranapanema;Paranapanema;paulista;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_litoral_norte;c_br_27_caraguatatuba;Caraguatatuba;110;b_br_27_caraguatatuba;Caraguatatuba;caicara;apostolicism;mountains;castle_holding
e_sudeste;k_sao_paulo;d_litoral_norte;c_br_27_caraguatatuba;Caraguatatuba;111;b_br_27_s_o_sebasti_o;São Sebastião;caicara;apostolicism;mountains;castle_holding
e_sudeste;k_sao_paulo;d_litoral_norte;c_br_27_caraguatatuba;Caraguatatuba;112;b_br_27_bairro_alto;Bairro Alto;caicara;apostolicism;plains;castle_holding
e_sudeste;k_sao_paulo;d_litoral_norte;c_br_27_ubatuba;Ubatuba;113;b_br_27_ubatuba;Ubatuba;caicara;apostolicism;mountains;castle_holding
e_sudeste;k_sao_paulo;d_litoral_norte;c_br_27_ubatuba;Ubatuba;114;b_br_27_catu_aba;Catuçaba;caicara;apostolicism;mountains;castle_holding
e_sudeste;k_sao_paulo;d_litoral_norte;c_br_27_ilhabela;Ilhabela;115;b_br_27_ilhabela;Ilhabela;caicara;apostolicism;mountains;castle_holding
e_sudeste;k_sao_paulo;d_ribeira;c_br_27_registro;Registro;116;b_br_27_cajati;Cajati;caicara;neopentecostalism;jungle;castle_holding
e_sudeste;k_sao_paulo;d_ribeira;c_br_27_registro;Registro;117;b_br_27_registro;Registro;caicara;neopentecostalism;jungle;castle_holding
e_sudeste;k_sao_paulo;d_ribeira;c_br_27_registro;Registro;118;b_br_27_sapatu;Sapatu;caicara;neopentecostalism;plains;castle_holding
e_sudeste;k_sao_paulo;d_ribeira;c_br_27_iguape;Iguape;119;b_br_27_juqui_;Juquiá;caicara;apostolicism;jungle;castle_holding
e_sudeste;k_sao_paulo;d_ribeira;c_br_27_iguape;Iguape;120;b_br_27_iguape;Iguape;caicara;apostolicism;jungle;castle_holding
e_sudeste;k_sao_paulo;d_ribeira;c_br_27_iguape;Iguape;121;b_br_27_canan_ia;Cananéia;caicara;apostolicism;jungle;castle_holding
e_sudeste;k_fluminense;d_grande_rio;c_br_21_rio_de_janeiro;Rio de Janeiro;122;b_br_21_rio_de_janeiro;Rio de Janeiro;carioca;apostolicism;mountains;castle_holding
e_sudeste;k_fluminense;d_grande_rio;c_br_21_rio_de_janeiro;Rio de Janeiro;123;b_br_21_nil_polis;Nilópolis;carioca;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_grande_rio;c_br_21_rio_de_janeiro;Rio de Janeiro;124;b_br_21_camorim;Camorim;carioca;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_grande_rio;c_br_21_nova_igua_u;Nova Iguaçu;125;b_br_21_nova_igua_u;Nova Iguaçu;carioca;apostolicism;jungle;castle_holding
e_sudeste;k_fluminense;d_grande_rio;c_br_21_nova_igua_u;Nova Iguaçu;126;b_br_21_duque_de_caxias;Duque de Caxias;carioca;apostolicism;jungle;castle_holding
e_sudeste;k_fluminense;d_grande_rio;c_br_21_nova_igua_u;Nova Iguaçu;127;b_br_21_itagua_;Itaguaí;carioca;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_grande_rio;c_br_21_nova_igua_u;Nova Iguaçu;128;b_br_21_bar_o_do_iriri;Barão do Iriri;carioca;apostolicism;jungle;castle_holding
e_sudeste;k_fluminense;d_grande_rio;c_br_21_niter_i;Niterói;129;b_br_21_niter_i;Niterói;carioca;neopentecostalism;jungle;castle_holding
e_sudeste;k_fluminense;d_grande_rio;c_br_21_niter_i;Niterói;130;b_br_21_itabora_;Itaboraí;carioca;neopentecostalism;plains;castle_holding
e_sudeste;k_fluminense;d_grande_rio;c_br_21_niter_i;Niterói;131;b_br_21_palmeiras;Palmeiras;carioca;neopentecostalism;plains;castle_holding
e_sudeste;k_fluminense;d_medio_paraiba;c_br_21_volta_redonda;Volta Redonda;132;b_br_21_volta_redonda;Volta Redonda;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_medio_paraiba;c_br_21_volta_redonda;Volta Redonda;133;b_br_21_barra_mansa;Barra Mansa;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_medio_paraiba;c_br_21_japeri;Japeri;134;b_br_21_japeri;Japeri;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_medio_paraiba;c_br_21_japeri;Japeri;135;b_br_21_miguel_pereira;Miguel Pereira;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_medio_paraiba;c_br_21_tr_s_rios;Três Rios;136;b_br_21_tr_s_rios;Três Rios;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_medio_paraiba;c_br_21_tr_s_rios;Três Rios;137;b_br_21_valen_a;Valença;paraiba;apostolicism;mountains;castle_holding
e_sudeste;k_fluminense;d_medio_paraiba;c_br_21_tr_s_rios;Três Rios;138;b_br_21_rapa_queijo;Rapa Queijo;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_medio_paraiba;c_br_21_resende;Resende;139;b_br_21_resende;Resende;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_medio_paraiba;c_br_21_resende;Resende;140;b_br_21_real;Real;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_medio_paraiba;c_br_21_resende;Resende;141;b_br_21_itatiaia;Itatiaia;paraiba;apostolicism;mountains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_campos_dos_goytacazes;Campos dos Goytacazes;142;b_br_21_campos_dos_goytacazes;Campos dos Goytacazes;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_campos_dos_goytacazes;Campos dos Goytacazes;143;b_br_21_nova_de_campos;Nova de Campos;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_campos_dos_goytacazes;Campos dos Goytacazes;144;b_br_21_serrinha;Serrinha;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_campos_dos_goytacazes;Campos dos Goytacazes;145;b_br_21_quixaba;Quixaba;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_maca_;Macaé;146;b_br_21_maca_;Macaé;paraiba;neopentecostalism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_maca_;Macaé;147;b_br_21_rio_das_ostras;Rio das Ostras;paraiba;neopentecostalism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_itaperuna;Itaperuna;148;b_br_21_itaperuna;Itaperuna;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_itaperuna;Itaperuna;149;b_br_21_bom_jesus_do_itabapoana;Bom Jesus do Itabapoana;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_itaperuna;Itaperuna;150;b_br_21_porci_ncula;Porciúncula;paraiba;apostolicism;mountains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_santo_ant_nio_de_p_dua;Santo Antônio de Pádua;151;b_br_21_santo_ant_nio_de_p_dua;Santo Antônio de Pádua;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_santo_ant_nio_de_p_dua;Santo Antônio de Pádua;152;b_br_21_miracema;Miracema;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_s_o_fid_lis;São Fidélis;153;b_br_21_s_o_fid_lis;São Fidélis;paraiba;apostolicism;mountains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_s_o_fid_lis;São Fidélis;154;b_br_21_barro_branco;Barro Branco;paraiba;apostolicism;mountains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_s_o_fid_lis;São Fidélis;155;b_br_21_amazonas;Amazonas;paraiba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_s_o_jo_o_da_barra;São João da Barra;156;b_br_21_s_o_jo_o_da_barra;São João da Barra;capixaba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_s_o_jo_o_da_barra;São João da Barra;157;b_br_21_s_o_francisco_de_itabapoana;São Francisco de Itabapoana;capixaba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_goytacazia;c_br_21_s_o_jo_o_da_barra;São João da Barra;158;b_br_21_santa_luzia;Santa Luzia;capixaba;apostolicism;plains;castle_holding
e_sudeste;k_fluminense;d_serra_dos_orgaos;c_br_21_petr_polis;Petrópolis;159;b_br_21_petr_polis;Petrópolis;carioca;neopentecostalism;mountains;castle_holding
e_sudeste;k_fluminense;d_serra_dos_orgaos;c_br_21_petr_polis;Petrópolis;160;b_br_21_santa_catarina;Santa Catarina;carioca;neopentecostalism;mountains;castle_holding
e_sudeste;k_fluminense;d_serra_dos_orgaos;c_br_21_teres_polis;Teresópolis;161;b_br_21_teres_polis;Teresópolis;carioca;neopentecostalism;mountains;castle_holding
e_sudeste;k_fluminense;d_serra_dos_orgaos;c_br_21_teres_polis;Teresópolis;162;b_br_21_cachoeiras_de_macacu;Cachoeiras de Macacu;carioca;neopentecostalism;plains;castle_holding
e_sudeste;k_fluminense;d_serra_dos_orgaos;c_br_21_teres_polis;Teresópolis;163;b_br_21_pomar;Pomar;carioca;neopentecostalism;plains;castle_holding
