#provid;title;r;g;b;r2;g2;b2;english;french;german;spanish
;k_arixo;146;62;176;;;;Arixo;;;
;d_gadsden;222;232;116;;;;Gadsden;;;
;d_arizona;34;72;39;;;;Arizona;;;
;d_colorado_river;24;141;145;;;;The Colorado;;;
;d_mogollon;210;192;92;;;;;;;
;k_sonora;168;95;62;;;;Sonora;;;
;d_altar;194;182;153;;;;Altar;;;
;d_sonora;185;104;75;;;;Sonora;;;
;d_yaqui;153;217;234;;;;Yaqui;;;
;k_sinaloa;206;148;141;;;;Sinaloa;;;
;d_sinaloa;176;128;131;;;;Sinaloa;;;
;d_mazatlan;200;93;40;;;;;;;
;d_nayarit;124;131;147;;;;Nayarit;;;
;k_sierra_madre;207;202;170;;;;Sierra Madre;;;
;d_chihuahua;187;192;180;;;;Chihuahua;;;
;d_casas_altas;189;162;87;;;;Casas Altas;;;
;d_durango;162;75;57;;;;Durango;;;
;k_rio_bravo;201;163;154;;;;Rio Bravo;;;
;d_coahuila;224;195;113;;;;Coahuila;;;
;d_nuevo_leon;194;90;52;;;;Nuevo León;;;
;d_nueva_extremadura;178;162;82;;;;;;;
;d_tamaulipas;168;142;69;;;;Tamaulipas;;;
;d_rio_bravo_del_norte;198;192;189;;;;Río Bravo del Norte;;;
;e_borealia;52;240;221;;;;Borealia;;;
;k_peace;100;152;220;;;;Peace;;;
;d_peace;100;132;230;;;;Peace;;;
;d_lesser_slave;83;117;200;;;;Lesser Slave;;;
;d_great_slave;120;145;148;;;;Great Slave;;;
;d_athabasca;154;165;245;;;;Athabasca;;;
;k_klondike;188;202;225;;;;Klondike;;;
;d_liard;100;125;165;;;;Liard;;;
;d_yukon;155;181;145;;;;Yukon;;;
;d_stikine;100;113;193;;;;Stikine;;;
;k_keewatin;86;196;228;;;;Keewatin;;;
;d_desnethe;151;210;196;;;;Desnethé;;;
;d_keewatin;139;155;150;;;;Keewatin;;;
;d_missinipi;166;210;151;;;;Missinipi;;;
;d_nelson;50;102;112;;;;Nelson;;;
;e_china_west_governor;0;153;51;;;;Northern Captaincy;;;
;e_california;201;22;57;;;;California;California;California;California
;k_baja_california;215;91;210;;;;Baja;Baja;Baja;Baja
;d_baja;245;247;210;;;;Baja;Baja;Baja;Baja
;d_baja_sur;245;212;251;;;;Baja Sur;Baja Sur;Baja Sur;Baja Sur
;d_ensenada;120;28;58;;;;Ensenada;Ensenada;Ensenada;Ensenada
;k_jefferson;158;174;230;;;;Jefferson;Jefferson;Jefferson;Jefferson
;d_nevada;158;206;230;;;;Nevada;Nevada;Nevada;Nevada
;d_north_jefferson;15;106;65;;;;North Jefferson;;;
;d_shasta_cascade;107;125;190;;;;Shasta Cascade;Shasta Cascade;Shasta Cascade;Shasta Cascade
;d_redwoods;52;78;202;;;;Redwoods;Redwoods;Redwoods;Redwoods
;k_francisco;233;188;217;;;;Gran Francisco;Gran Francisco;Gran Francisco;Gran Francisco
;d_goldengate;227;210;150;;;;Goldengate;Goldengate;Goldengate;Goldengate
;d_east_bay;173;119;164;;;;East Bay;;;
;d_salinas;233;188;194;;;;Salinas;Salinas;Salinas;Salinas
;d_wineland;233;134;198;;;;Wineland;Wineland;Wineland;Wineland
;k_the_valley;148;224;108;;;;The Valley;The Valley;The Valley;The Valley
;d_central_valley;157;225;80;;;;Central Valley;Central Valley;Central Valley;Central Valley
;d_kern;193;220;108;;;;Kern;Kern;Kern;Kern
;d_motherlode;236;235;96;;;;Motherlode;Motherlode;Motherlode;Motherlode
;d_north_valley;148;224;150;;;;North Valley;North Valley;North Valley;North Valley
;k_sacramento;192;61;146;;;;Sacramento;Sacramento;Sacramento;Sacramento
;d_sacramento;192;61;146;;;;Sacramento;Sacramento;Sacramento;Sacramento
;k_death_valley;60;60;60;;;;Death Valley;Death Valley;Death Valley;Death Valley
;d_death_valley;60;60;60;;;;Death Valley;Death Valley;Death Valley;Death Valley
;k_socal;255;197;101;;;;Socal;Socal;Socal;Socal
;d_los_angeles;220;208;74;;;;Los Angeles;Los Angeles;Los Angeles;Los Angeles
;d_berdoo;241;190;144;;;;Berdoo;Berdoo;Berdoo;Berdoo
;d_salton;211;241;144;;;;Salton;Salton;Salton;Salton
;d_los_padres;199;197;170;;;;Los Padres;Los Padres;Los Padres;Los Padres
;d_mojave;241;215;194;;;;Mojave;Mojave;Mojave;Mojave
;e_canada;54;127;75;;;;Canada;;;
;k_ontario;187;137;10;;;;Ontario;;;
;d_talbot;97;107;50;;;;Talbot;;;
;d_huronia;79;134;189;;;;Huronia;;;
;d_home;252;189;60;;;;Home;;;
;d_quinte;187;234;181;;;;Quinte;;;
;d_ottawa;153;158;141;;;;Ottawa;;;
;d_midland;174;219;40;;;;Midland;;;
;k_quebec;70;120;220;;;;Québec;;;
;d_quebec;98;111;202;;;;Québec;;;
;d_montreal;158;17;18;;;;Montreal;;;
;d_monteregie;95;106;164;;;;Montérégie;;;
;d_bas_st_laurent;120;180;173;;;;Bas-Saint-Laurent;;;
;d_gaspesia;219;140;21;;;;Gaspesia;;;
;d_estrie;221;208;210;;;;Estrie;;;
;d_chaudiere_appalaches;253;231;230;;;;Chaudière-Appalaches;;;
;d_mauricia;0;115;190;;;;Mauricia;;;
;d_laurentides;46;76;188;;;;Laurentides;;;
;d_outaouais;240;240;220;;;;Outaouais;;;
;k_maritimes;49;70;133;;;;The Maritimes;;;
;d_new_brunswick;232;180;0;;;;New Brunswick;;;
;d_petitcodiac;185;207;184;;;;Petitcodiac;;;
;d_miramichi;202;49;16;;;;Miramichi;;;
;d_restigouche;140;210;225;;;;Restigouche;;;
;d_madeleine_islands;70;180;50;;;;Madeleine Islands;;;
;d_prince_edward_island;34;177;76;;;;Prince Edward Island;;;
;d_north_nova;46;85;177;;;;North Nova;;;
;d_nova_scotia;20;80;162;;;;Nova Scotia;;;
;d_cape_breton;100;80;162;;;;Cape Breton;;;
;k_aurora;88;141;35;;;;Aurora;;;
;d_algoma;128;38;97;;;;Algoma;;;
;d_shield;107;133;103;;;;Shield;;;
;d_nipissing;10;132;222;;;;Nipissing;;;
;d_thunder;227;213;179;;;;Thunder;;;
;e_caribbean;141;210;49;;;;Caribbean Empire;;;
;k_cuba;234;39;59;;;;Cuba;;;
;d_havana;206;166;155;;;;Havana;;;
;d_las_villas;221;222;230;;;;Las Villas;;;
;d_camaguey;109;154;173;;;;Camagüey;;;
;d_oriente;159;149;128;;;;Oriente;;;
;d_gitmo;79;75;70;;;;Gitmo;;;
;k_west_indies;50;155;58;;;;The West Indies;;;
;d_jamaica;0;155;58;;;;Jamaica;;;
;d_bahama;220;161;50;;;;Bahama;;;
;d_grand_cayman;193;219;13;;;;Grand Cayman;;;
;k_antilles;255;161;0;;;;Antilles;;;
;d_french_antilles;46;89;220;;;;French Antilles;;;
;d_windward_isles;246;56;46;;;;Windward Isles;;;
;d_trinidad_and_tobago;122;114;75;;;;Trinidad and Tobago;Trinidad and Tobago;Trinidad and Tobago;Trinidad and Tobago
;d_leeward_isles;255;153;0;;;;Leeward Isles;;;
;d_leeward_antilles;42;183;204;;;;Leeward Antilles;;;
;k_hispaniola;0;40;190;;;;Hispaniola;;;
;d_haiti;10;50;140;;;;Haiti;;;
;d_tortuga;94;70;82;;;;Tortuga;;;
;d_santo_domingo;210;0;20;;;;Santo Domingo;;;
;d_el_cibao;160;13;71;;;;El Cibao;;;
;d_puerto_rico;237;112;200;;;;Puerto Rico;;;
;e_cascadia;63;116;160;;;;Cascadia;;;
;k_vancouver;150;12;35;;;;Vancouver;;;
;d_fraser;51;153;255;;;;Fraser;;;
;d_victoria;0;36;125;;;;Victoria;;;
;d_up_island;60;156;205;;;;Up-Island;;;
;d_dire_straits;62;80;125;;;;Dire Straits;;;
;k_caledonia;170;80;165;;;;;;;
;d_cariboo;20;222;130;;;;Cariboo;;;
;d_kootenay;216;30;4;;;;Kootenay;;;
;d_okanagan;30;182;30;;;;Okanagan;;;
;d_omineca;55;157;160;;;;Omineca;;;
;k_cascadia;19;88;193;;;;Cascadia;;;
;d_willamette;84;17;133;;;;Willamette;;;
;d_portlandia;42;110;64;;;;Portlandia;;;
;d_olympus;108;157;50;;;;Olympus;;;
;d_puget;0;131;134;;;;Puget;;;
;k_lincoln;13;104;38;;;;Lincoln;;;
;d_colville;247;184;0;;;;Colville;;;
;d_columbia_valley;206;114;15;;;;Columbia Valley;;;
;d_horse_heaven;138;97;67;;;;Horse Heaven;;;
;d_blue_mountains;0;84;141;;;;Blue Mountains;;;
;d_clearwater;29;191;241;;;;Clearwater;;;
;k_great_coast;60;60;255;;;;Great Coast;;;
;d_haida_gwaii;50;184;230;;;;Haida Gwaii;;;
;d_alexander;10;127;180;;;;Alexander;;;
;d_juneau;95;167;160;;;;Juneau;;;
;d_sitka;46;131;154;;;;;;;
;d_the_coast;20;70;155;;;;The Coast;;;
;e_centroamerica;14;160;236;;;;;;;
;k_guatemala;24;90;181;;;;Guatemala;;;
;d_guatemala;21;155;200;;;;Guatemala;;;
;d_pacifico;35;171;253;;;;Pacífico;;;
;d_los_altos;0;50;250;;;;Los Altos;;;
;d_verapazes;24;90;171;;;;Verapazes;;;
;k_el_salvador;25;200;244;;;;;;;
;d_salvador;78;204;240;;;;Salvador;;;
;k_honduras;220;240;250;;;;Honduras;;;
;d_atlantida;101;136;150;;;;Atlántida;;;
;d_altas_honduras;222;228;252;;;;Altas Honduras;;;
;d_colon;160;190;220;;;;Colón;;;
;k_mosquito;200;24;61;;;;Mosquito;;;
;d_mosquito;199;50;66;;;;Mosquito;;;
;d_mosquito_norte;225;87;51;;;;Mosquito Norte;;;
;d_las_brumas;150;91;146;;;;Las Brumas;;;
;d_isla_de_san_andres;168;29;93;;;;Isla de San Andrés;;;
;k_gran_nicoya;140;194;221;;;;;;;
;d_costa_rica;35;206;186;;;;Costa Rica;Costa Rica;Costa Rica;Costa Rica
;d_nicaragua;99;165;221;;;;Nicaragua;;;
;e_colombia;242;188;81;;;;;;;
;k_cundiboyaca;184;52;36;;;;Cundiboyacá;;;
;d_cundinamarca;142;43;46;;;;Cundinamarca;Cundinamarca;Cundinamarca;Cundinamarca
;d_santander;175;162;129;;;;Santander;Santander;Santander;Santander
;d_gran_cafetal;209;165;22;;;;Gran Cafetal;;;
;k_puente_grande;15;166;236;;;;Puente Grande;Puente Grande;Puente Grande;Puente Grande
;d_panama;66;184;226;;;;Panamá;Panamá;Panamá;Panamá
;d_darien;23;104;164;;;;Darién;;;
;d_chiriqui;103;196;196;;;;Chiriquí;Chiriquí;Chiriquí;Chiriquí
;d_coiba;67;57;227;;;;Isla Coiba;;;
;k_antioquia;229;223;53;;;;Antioquia;Antioquia;Antioquia;Antioquia
;d_antioquia;199;193;23;;;;Antioquia;Antioquia;Antioquia;Antioquia
;d_magdalena_medio;135;124;14;;;;Magdalena Medio;;;
;d_viejo_caldas;131;103;47;;;;Viejo Caldas;;;
;k_el_pacifico;166;155;84;;;;El Pacífico;;;
;d_cauca;154;154;105;;;;Cauca;Cauca;Cauca;Cauca
;d_choco;187;153;150;;;;Chocó;Chocó;Chocó;Chocó
;k_el_caribe;17;157;121;;;;El Caribe;;;
;d_macondo;17;147;111;;;;;;;
;d_cordoba;66;199;220;;;;Córdoba;;;
;d_cesar;86;199;190;;;;Cesar;Cesar;Cesar;Cesar
;d_magdalena;96;165;189;;;;Magdalena;Magdalena;Magdalena;Magdalena
;e_dixie;155;155;155;;;;Holy Columbian Confederacy;;;
;k_magnolia_archduchy;122;60;29;;;;;;;
;k_tuskegee_grand_duchy;90;50;90;;;;;;;
;k_tarheel_grand_duchy;226;239;175;;;;;;;
;k_georgia;195;205;185;;;;Georgia;;;
;d_peachtree;206;66;26;;;;Peachtree;;;
;d_augusta;237;254;203;;;;Augusta;;;
;d_savannah;165;75;32;;;;Savannah;;;
;d_altamaha;173;220;220;;;;Altamaha;;;
;d_sowega;4;172;227;;;;Sowega;;;
;k_tuskegee;90;50;90;;;;Tuskegee;;;
;d_black_belt;55;55;66;;;;Black March;;;
;d_wiregrass;55;66;2;;;;Wiregrass;;;
;d_birmingham;119;201;156;;;;Birmingham;;;
;d_nickajack;88;174;36;;;;Nickajack;;;
;k_palmetto;139;232;223;;;;;;;
;d_lowcountry;18;141;80;;;;Lowcountry;;;
;d_midcountry;98;111;166;;;;;;;
;d_santee;57;51;181;;;;Santee;;;
;k_tarheel;226;239;175;;;;Tar Heel;;;
;d_outer_banks;230;225;25;;;;The Outer Banks;;;
;d_inner_banks;153;201;54;;;;The Inner Banks;;;
;d_triangle;122;70;153;;;;The Triangle;;;
;d_piedmont_crescent;149;242;233;;;;Piedmont Crescent;;;
;d_cape_fear;193;184;132;;;;;;;
;k_magnolia;122;60;29;;;;Magnolia;;;
;d_pine_belt;0;125;179;;;;Pine Belt;;;
;d_natchez;130;152;96;;;;Natchez;;;
;d_yazoo;196;150;79;;;;Yazoo;;;
;d_chickasaw;172;231;234;;;;Chickasaw;;;
;d_choctaw;192;203;207;;;;Choctaw;;;
;e_usa;40;50;220;;;;America;;;
;e_nys;0;42;134;;;;The Empire State;;;
;k_keystone;195;205;185;;;;Keystone;;;
;e_grand_louisiana;11;22;170;;;;Grande Louisiane;;;
;e_new_california;240;22;50;;;;New California;;;
;e_gran_colombia;141;10;149;;;;Gran Colombia;;;
;e_grand_virginia;175;105;75;;;;Grand Virginia;;;
;k_tennessee;199;76;28;;;;Tennessee;;;
;k_west_virginia;90;110;115;;;;West Virginia;;;
;k_appalachia;160;167;78;;;;Appalachia;;;
;d_clinch;209;139;20;;;;Clinch;;;
;d_cumberland;170;95;145;;;;Cumberland;;;
;d_east_tennessee;76;126;161;;;;East Tennessee;;;
;d_vandalia;70;90;95;;;;;;;
;d_blue_ridge;75;100;185;;;;Blue Ridge;;;
;k_old_dominion;182;89;84;;;;The Old Dominion;;;
;d_shenandoah;138;168;98;;;;Shenandoah;;;
;d_piedmont;220;120;150;;;;Piedmont;;;
;d_tidewater;100;170;200;;;;Tidewater;;;
;d_southside;210;195;160;;;;Southside;;;
;k_booneland;12;124;77;;;;Booneland;;;
;d_bluegrass;0;141;183;;;;Bluegrass;;;
;d_pennyrile;255;204;174;;;;Pennyrile;;;
;d_middle_tennessee;221;188;235;;;;Middle Tennessee;;;
;d_west_tennessee;168;167;2;;;;West Tennessee;;;
;d_little_egypt;25;75;180;;;;Little Egypt;;;
;d_kentuckiana;31;48;16;;;;Kentuckiana;;;
;e_gulfcoast;245;140;105;;;;Gulfcoast;;;
;k_louisiana;85;146;213;;;;;;;
;d_orleans;46;96;15;;;;Orleans;;;
;d_acadiana;168;45;23;;;;Acadiana;;;
;d_alexandria;209;78;21;;;;Alexandria;;;
;d_ouachita;58;152;126;;;;Ouachita;;;
;d_west_florida;239;228;176;;;;West Florida;;;
;k_florida;234;169;121;;;;Florida;;;
;d_muskogee;173;182;143;;;;Muskogee;;;
;d_citriana;245;211;14;;;;Citriana;;;
;d_mobile;176;38;104;;;;Mobile;;;
;d_timucua;213;175;98;;;;Timucua;;;
;d_first_coast;235;202;137;;;;;;;
;d_suncoast;33;177;116;;;;Suncoast;;;
;d_miami;95;132;202;;;;Miami;;;
;d_knights_of_columbus;137;191;244;;;;Knights of Columbus;;;
;d_knights_of_peter_claver;210;28;129;;;;Knights of Peter Claver;;;
;d_lebanon_brethren;101;101;81;;;;Lebanon Brethren;;;
;d_st_ursulas_chosen;150;180;240;;;;St. Ursula's Chosen;;;
;k_ursuline_state;150;180;240;;;;Ursuline State;;;
;d_masked_knights;192;192;192;;;;Orden de la Máscara;;;
;d_men_in_black;100;100;0;;;;Men in Black;;;
;d_flaming_sword;65;105;225;;;;Order of the Flaming Sword;;;
;d_fm;2;11;148;;;;Freemasons;;;
;d_fh;16;30;225;;;;Fylkir's Hundreds;;;
;d_oto;240;240;240;;;;O.T.O.;;;
;d_national_cathedral;120;0;145;;;;National Cathedral Association;;;
;d_keepers_of_the_green_peace;20;185;22;;;;Keepers of the Green Peace;;;
;d_lightbringers;234;197;76;;;;Lightbringers;;;
;d_dead_sun;114;75;6;;;;Dead Sun;;;
;d_shomrim;20;100;255;;;;Shomrim;;;
;d_nauvoo_legion;32;39;255;;;;Nauvoo Legion;;;
;d_st_pats;0;105;63;;;;Knights of Saint Patrick;;;
;d_golden_bears;0;105;63;;;;Golden Bears;;;
;d_oppenheimer;255;255;255;;;;Sons of Oppenheimer;;;
;d_order_of_brotherhood;234;211;63;;;;Order of Brotherhood;;;
;d_followers_ram;255;0;0;;;;;;;
;d_batallon_colombia;243;174;0;;;;;;;
;d_judah_lions;180;165;70;;;;Lions of Judah;;;
;d_saint_expedit;91;127;0;;;;Order of Saint Expédit;;;
;d_followers_ogun;128;128;128;;;;Followers of Ogun;;;
;d_warriors_guaicaipuro;127;51;0;;;;Warriors of Guaicaipuro;;;
;d_all_tribes;133;4;5;;;;All Tribes;;;
;d_capoeiristas;0;126;195;;;;Capoeiristas;;;
;d_code_keepers;254;255;3;;;;Keepers of the Code;;;
;d_golden_archers;190;160;60;;;;Golden Archers;;;
;d_round_table;75;75;75;;;;Round Table;Table ronde;;
;d_salvation_army;239;62;66;;;;Army of Salvation;;;
;d_three_fires;197;133;41;;;;Three Fires;;;
;d_taxet_warriors;159;20;20;;;;Warriors of Ta'xet;;;
;d_fruit_of_islam;234;197;76;;;;The Fruit of Islam;;;
;d_guardians_of_tradition;35;110;5;;;;Guardians of Tradition;;;
;d_coureurs_des_bois;150;180;240;;;;Coureurs des Bois;;;
;d_knights_st_flanelle;150;180;240;;;;Knights of Sainte-Flanelle;;;
;d_cedesi;224;192;18;;;;Cedeesi;;;
;d_pony_express;249;222;179;;;;Pony Express;;;
;d_order_of_the_golden_bunny;255;215;0;;;;;;;
;d_twelve_pairs_of_france;0;35;150;;;;;;;
;d_legion_infernal;120;120;255;;;;;;;
;d_uaw;0;75;141;;;;;;;
;d_iatse;250;185;87;;;;;;;
;d_iron_workers;150;167;198;;;;;;;
;d_teamsters;128;170;167;;;;;;;
;d_afl;50;0;0;;;;;;;
;e_rebels;0;0;0;;;;;;;
;e_pirates;0;0;0;;;;Pirates;;;
;d_freedom_riders;180;180;180;;;;;;;
;d_eagles;34;177;76;;;;Philadelphian Eagles;;;
;d_buckeyes;200;0;0;;;;Buckeyes of Ohio;;;
;d_MI_wolverines;0;39;88;;;;Arborite Wolverines;;;
;d_brave_men_of_atlanta;209;16;26;;;;Brave Men of Atlanta;;;
;d_pinkerton_company;255;174;201;;;;Pinkerton Company;;;
;d_seventhcav;232;213;7;;;;Seventh Cavalry Regiment;;;
;d_nancy_harts;255;174;201;;;;Nancy Harts;;;
;d_reillys_rangers;21;129;10;;;;Reilly's Rangers;;;
;d_talon_company;128;128;128;;;;Talon Company;;;
;d_red_tails;192;37;41;;;;Red Tails;;;
;d_hells_angels;255;92;38;;;;Hell's Angels;;;
;d_tonton_macoutes;94;177;16;;;;Tonton Macoutes;;;
;d_shower_posse;0;171;77;;;;Shower Posse;;;
;d_spanglers_posse;0;171;77;;;;Spanglers Posse;;;
;d_shaolin_company;255;201;14;;;;Shaolin Company;;;
;d_cleveland_zoo;230;17;50;;;;Zoological Society of Cleveland;;;
;d_anachronists;128;0;128;;;;Anachronists;;;
;d_minutemen;5;81;128;;;;Minutemen;;;
;d_keetowah_nighthawk_band;22;202;44;;;;Keetowah Nighthawk Band;;;
;d_free_rangers_division;211;3;37;;;;Free Rangers Division;;;
;d_hood_company;132;213;70;;;;Hood Company;;;
;d_hood_band;102;183;40;;;;Hood Band;;;
;d_tonkawa_scouts;50;100;0;;;;Tonkawa Scouts;;;
;d_minnesota_norsemen;50;10;100;;;;Minnesota Norsemen;;;
;d_steel_company;35;31;32;;;;Steel Company;;;
;d_aztlan_guard;34;177;76;;;;Aztlán Guard;;;
;d_catrachos;34;177;76;;;;Catrachos;;;
;d_chapines;34;177;76;;;;Chapines;;;
;d_children_of_the_toad;34;177;76;;;;Children of the Toad;;;
;d_dread_pirates;34;177;76;;;;Dread Pirates;;;
;d_eagle_warriors;34;177;76;;;;Eagle Warriors;;;
;d_foreign_legion;34;177;76;;;;Foreign Legion;;;
;d_granaderos;34;177;76;;;;Granaderos;;;
;d_jaguar_band;34;177;76;;;;Jaguar Band;;;
;d_lost_legion;34;177;76;;;;Lost Legion;;;
;d_masked_men_of_capistrano;34;177;76;;;;Masked Men of Capistrano;;;
;d_morgan_marines;34;177;76;;;;Morgan Marines;;;
;d_oxyotl_skirmishers;34;177;76;;;;Oxyotl Skirmishers;;;
;d_palace_guard;34;177;76;;;;Palace Guard;;;
;d_plumed_archers;34;177;76;;;;Plumed Archers;;;
;d_salvatruchos;34;177;76;;;;Salvatruchos;;;
;d_san_patricios;34;177;76;;;;San Patricios;;;
;d_skull_legion;34;177;76;;;;Skull Legion;;;
;d_warriors_of_itza;34;177;76;;;;Warriors of Itza;;;
;d_tricolor_footmen;34;177;76;;;;Tricolor Footmen;;;
;d_sun_knights;34;177;76;;;;Sun Knights;;;
;d_prowling_jaguars;34;177;76;;;;Prowling Jaguars;;;
;d_overseas_merchants;47;65;220;;;;Overseas Merchants;;;
;d_black_flag_raiders;34;177;76;;;;Black Flag Raiders;;;
;d_oakland_raiders;34;34;34;;;;Raiders of Oakland;;;
;d_old_breed;210;38;38;;;;Old Breed;;;
;d_apple_cult;220;220;220;;;;Cult of the Apple;;;
;d_forty_nine_giants;250;105;22;;;;Forty-Nine Giants;;;
;d_burning_men;250;105;22;;;;Burning Men;;;
;d_chargers;25;55;100;;;;Chargers;;;
;d_steel_brotherhood;60;70;95;;;;Steel Brotherhood;;;
;d_extras;200;200;200;;;;Extras;;;
;d_hawaiian_guard;142;69;137;;;;Hawaiian Guard;;;
;d_lekwiltok;0;119;68;;;;Lekwiltok Kiidaaw;;;
;d_pike_place_pikemen;234;56;20;;;;Pike Place Pikemen;;;
;d_walla_walla_warriors;246;201;9;;;;Walla Walla Warriors;;;
;d_stampede;248;193;80;;;;Stampede;;;
;d_tri_river_outlaws;124;124;124;;;;Tri-River Outlaws;;;
;d_roughriders;100;118;0;;;;Roughriders;;;
;d_aguilas;200;200;200;;;;Águilas;;;
;d_gaiteros;50;200;200;;;;Gaiteros;;;
;d_rojos_del_avila;200;50;50;;;;Rojos del Ávila;;;
;d_cafeteros;50;50;250;;;;Cafeteros;;;
;d_canaleros;50;50;200;;;;Canaleros;;;
;d_golden_jaguars;250;250;50;;;;Golden Jaguars;;;
;d_sons_of_samedi;50;205;92;;;;Sons of Samedi;;;
;d_nayomniki;11;78;150;;;;Nayomniki;;;
;d_dogs_of_war;220;225;252;;;;Dogs of War;;;
;d_omega_guard;20;55;152;;;;Omega Guard;;;
;d_desperados;220;25;25;;;;Desperados;;;
;d_chivas;250;105;92;;;;Chivas;;;
;d_seminole_band;92;202;94;;;;Seminole Band;;;
;d_hazardeers;152;232;134;;;;Hazardeers;;;
;d_yukon_travellers;52;32;234;;;;Yukon Travellers;;;
;d_staten_island_ferriers;255;255;255;;;;Staten Island Ferriers;;;
;d_boucaniers;207;16;26;;;;Boucaniers;;;
;d_freesails_of_trinidad;157;216;126;;;;Freesails of Trinidad;;;
;d_colima_traders;17;206;226;;;;Colima Traders;;;
;d_north_sea_whalers;207;116;156;;;;North Sea Whalers;;;
;d_haida_coasters;57;216;26;;;;Haida Coasters;;;
;d_panamax_company;207;116;226;;;;Panamax Company;;;
;d_michigan_chartists;157;56;226;;;;Michigan Chartists;;;
;d_golden_gate_galleys;157;56;226;;;;Golden Gate Galleys;;;
;d_delta_blues;157;56;226;;;;Delta Blues;;;
;d_cartagena_flotilla;17;216;226;;;;Cartagena Flotilla;;;
;d_bermuda_barracudas;157;156;126;;;;Bermuda Barracudas;;;
;d_corsairs_of_cortes;57;56;26;;;;Corsairs of Cortés;;;
;d_boston_celts;75;75;0;;;;Boston Celts;;;
;d_gwydion;75;70;0;;;;Sons of Gwydion;Fils de Gwydion;Sons of Gwydion;Sons of Gwydion
;d_red_dragons;75;0;75;;;;Red Dragon Knights;Chevalier Dragon;;
;d_orangemen;212;69;0;;;;Orangemen;;;
;d_papal_guards;255;240;240;;;;Pontifical Rustish Guards;;;
;d_abbey_guards;2;1;131;;;;Le Vingt-Deuxième;;;
;d_showtime;252;178;12;;;;Showtimers;;;
;d_metropolitans;255;89;16;;;;Metropolitans;;;
;d_pinstripers;19;36;72;;;;Pinstripers;;;
;d_greylegion;180;180;180;;;;Greyfederates;;;
;d_bluelegion;40;50;220;;;;Blunion Boys;;;
;d_san_diego_zoo;88;173;118;;;;Zoological Society of San Diego;;;
;d_warbirds;38;127;14;;;;Warbirds;;;
;d_millonarios;14;53;123;;;;Millonarios;;;
;d_navegantes;255;198;55;;;;Navegantes;;;
;d_vitoria;255;0;0;;;;;;;
;d_smoking_snakes;26;142;4;;;;Cobras Fumantes;;;
;d_arabian_knights;255;221;0;;;;One Thousand and One Knights;;;
;d_fighting_javidan;250;80;45;;;;Fighting Javidan;;;
